Дата и время      	Тип события	Описание
18.07.2020 6:48:23	Аудит      	Тревога оценена на устройстве "61.Гл.корпус - 1 этаж холл часть " сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:22	Аудит      	Просмотр камеры "61.Гл.корпус - 1 этаж холл часть " пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:22	Аудит      	Устройство "27.Общежитие №7 - задний двор 1" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:22	Аудит      	Тревога оценена на устройстве "27.Общежитие №7 - задний двор 1" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:47:19	Аудит      	Просмотр камеры "27.Общежитие №7 - задний двор 1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:47:14	Аудит      	Устройство "139.ФСК - Стадион" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:47:14	Аудит      	Тревога оценена на устройстве "139.ФСК - Стадион" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:47:13	Аудит      	Просмотр камеры "139.ФСК - Стадион" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:47:13	Аудит      	Устройство "21.МедКолледж новый - Холл" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:47:13	Аудит      	Тревога оценена на устройстве "21.МедКолледж новый - Холл" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:47:13	Аудит      	Просмотр камеры "21.МедКолледж новый - Холл" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:47:13	Аудит      	Устройство "44.Физмат - аллея ул. Чернышевского" сервера "KBGU-AXXON-2": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:47:12	Аудит      	Тревога оценена на устройстве "44.Физмат - аллея ул. Чернышевского" сервера "KBGU-AXXON-2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:47:12	Аудит      	Просмотр камеры "44.Физмат - аллея ул. Чернышевского" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
